"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D7","TPD4E05U06_PASS","42188.82mil","41765.47mil","42188.82mil","41765.47mil","42228.19mil","41750.312mil","T","180.00","TPD4E05U06"
"D6","TPD4E05U06_PASS","41948.82mil","41765.47mil","41948.82mil","41765.47mil","41909.45mil","41780.628mil","T","0.00","TPD4E05U06"
"D5","SOT-23","42358.82mil","41860.47mil","42358.82mil","41860.47mil","42396.222mil","41823.068mil","T","180.00","TPD2E009DBZR"
"D4","SOD-323","41183.82mil","41635.47mil","41183.82mil","41635.47mil","41142.285mil","41635.47mil","T","270.00","1N4148WS"
"D3","SOT-23","43228.83mil","41625.47mil","43228.83mil","41625.47mil","43191.428mil","41588.068mil","T","90.00","TPD2E009DBZR"
"D2","SOD-323","42878.82mil","41815.47mil","42878.82mil","41815.47mil","42878.82mil","41857.005mil","T","180.00","1N4148WS"
"D1","PowerDI","40700mil","42812mil","40700mil","42890mil","40663mil","42734mil","T","270.00","PDS760-13"
"C96","0402","42133.82mil","43470.47mil","42133.82mil","43470.47mil","42133.82mil","43489.368mil","T","270.00","100n"
"C95","0402","42093.82mil","43470.47mil","42093.82mil","43470.47mil","42093.82mil","43489.368mil","T","270.00","100n"
"C94","0402","41293.82mil","43465.47mil","41293.82mil","43465.47mil","41293.82mil","43446.572mil","B","90.00","100n"
